53307	12	3	18.18
119	2652	3	14.09
490	1926	4	35.22
549	1053	8	73.32
14486	117	3	23.87
101	2649	5	5.91
7984	111	3	17.66
364	39442	3	44.64
186	444	3	10.1
10764	7802	3	52.44
102	7546	3	7.26
12	4859	8	13.54
2462	102	18	67.8
101	275	30	19.16
35956	14	3	12.18
8926	117	8	72.12
243	7005	11	137.53
1170	113	3	7.12
333	706	3	16.73
14691	14	9	39.47
512	1335	3	22.6
12	7643	4	5.17
2971	14	17	30.13
5806	101	3	4.83
38726	14	3	12.18
18087	122	3	27.69
14663	102	3	11.49
2	581	21	61.18
102	829	9	5.83
103	953	8	15.53
102	2223	16	53.35
19688	6790	3	55.75
2185	200	5	38.15
11807	12	3	4.72
3854	101	10	30.92
12	23398	3	9.02
2468	247	6	52.71
19478	583	6	94.36
555	112	7	17.43
29512	14	5	27.58
57	726	3	4.11
19848	12	3	8.09
112	861	3	5.16
141	212	243	2416.94
844	1487	3	25.95
11427	1359	3	41.51
468	1069	3	20.75
9313	102	4	13.57
500	121	6	18.54
1546	164	3	15.38
139	119	11	13.31
27062	117	4	41.33
5549	1	3	20.18
346	989	10	87.07
9783	102	3	8.76
405	473	5	31.34
200	24411	3	36.56
2901	370	23	302.01
4491	3233	3	40.75
53946	404	3	49.75
404	3374	8	88.82
1251	103	5	8.1
437	21202	3	39.51
3327	568	4	40.65
113	435	19	79.41
13240	180	4	43.33
16250	14	8	34.38
462	12	31	11.2
7655	106	6	37
26747	14	3	8.62
105	2409	3	6.73
13174	12	3	5.13
1121	3203	3	32.14
9043	4926	4	66.9
953	277	11	91.59
3142	14	40	160.67
307	6756	3	29.83
490	331	3	14.76
8771	297	5	58.13
1676	109	12	59.78
5929	101	3	4.83
4630	127	3	19.22
11147	5024	3	49.37
4878	102	8	27.61
7949	12	4	5.48
122	290	4	6.84
157	2439	3	17.78
11476	7169	4	72.6
1439	212	10	83.62
4982	14	22	78.77
15470	1618	3	44.66
269	118	4	4.19
1640	12	14	11.98
48494	14	3	16.55
8480	150	4	35.38
2435	160	3	17.94
107	14734	3	18.86
9154	102	4	13.57
118	742	6	20.08
17	103	79	96.81
267	41144	3	47.2
103	1270	8	19.67
104	2060	3	5.56
1109	12	21	17.78
8	8660	7	58.08
29863	14	4	17.19
101	7207	3	6.04
1437	3242	12	171.88
4158	250	3	25.22
17836	117	8	91.66
36039	14	3	12.18
119	4538	3	17.29
587	745	7	58.87
3647	2	3	7.7
21308	12	3	9.02
749	496	8	66.95
48924	14	3	16.55
105	570	5	4.23
2169	101	6	7.05
2561	9109	3	44.14
16064	14	10	55.16
2506	1752	3	33.49
207	29915	3	38.57
741	119	6	21.65
101	15355	4	16.52
3206	102	5	8.78
2247	179	4	27.48
5727	807	4	47.63
5441	14	24	100.18
297	3808	15	183.09
2	11571	4	22.53
9	5612	5	32.08
24412	7	5	46.07
50906	14	3	16.55
976	115	5	16.42
107	105	74	14.35
133	839	10	56.26
405	267	5	25.91
697	25851	4	62.45
107	1866	3	6.31
34728	109	3	28.62
110	411	46	246.11
4920	101	6	15.5
19061	17155	3	61.87
108	3040	6	27.62
951	422	7	57.75
106	5429	4	18.19
1047	744	3	23.17
3095	101	4	4.31
296	1370	20	212.25
29683	14	4	17.19
167	366	4	12.72
140	246	3	4.23
615	105	5	4.69
58	1068	7	24.72
616	473	10	83.95
431	958	3	19.71
101	9397	4	12.18
1101	109	4	8.21
50608	14	3	16.55
10655	12	5	11.52
18789	3104	3	50.05
4389	37164	3	59.03
6987	12	8	19.52
133	1993	5	29.77
855	477	11	101.17
856	102	9	6.11
10067	111	3	19.02
106	512	5	4.28
765	145	4	15.67
110	38251	3	29.49
2	11530	3	14.96
1900	101	6	5.85
1288	335	8	69.89
142	1461	25	222.7
879	6050	3	34.74
2788	897	8	97.01
26611	14	5	22.3
4488	948	3	33.28
2123	1966	21	325.1
12	10706	3	4.03
18703	101	4	18.49
108	2122	8	35.82
110	1331	19	109.48
832	746	7	63.24
1908	7	4	9.69
13579	137	5	51.7
113	37683	3	31.16
1495	8	4	13.5
5331	273	5	51.16
1133	15129	6	95.41
2684	128	3	15.86
734	2309	3	27.94
12790	122	5	47.93
2172	439	3	24.86
106	1140	4	6.44
57	1009	3	5.56
107	1532	8	28.15
2960	458	24	327.92
13038	14	10	41.51
507	2500	12	140.59
12939	618	4	53.25
2002	58	4	14.82
10205	12	5	11.52
678	733	11	104.9
7714	101	4	10.56
1546	421	4	32.36
12	9751	7	20.39
102	8496	4	12.69
16094	109	4	30.74
10947	14	12	51.57
5754	21499	6	125.72
5247	12	5	5.24
173	3615	4	30.71
13207	14	12	59.27
4292	177	3	22.43
32181	14	3	10.08
139	343	3	6.04
9207	106	4	22.82
460	143	8	34.73
14043	14	10	44.61
417	17491	3	38.41
46128	14	3	16.55
14104	2103	3	45.67
11269	101	3	8.49
13188	148	6	64.88
16	721	4	8.96
2	322	23	47.94
12	3938	7	7.79
157	299	4	10.66
598	1739	4	35.83
4181	12	18	55.16
3347	837	6	70.58
102	2450	4	4.03
1178	3038	10	133.25
202	8820	3	28.5
7272	14	17	68.15
5891	853	8	109.11
21115	14	3	6.62
2733	111	3	11.21
208	5716	4	36.9
1677	4735	4	51.9
178	3762	4	31.39
119	820	10	47.65
1739	395	4	33
412	14352	5	66.78
1568	154	8	55.56
11416	14	9	30.24
1145	122	12	73.36
12	939	27	26.86
101	815	11	7.15
102	4095	8	24.59
2805	174	5	38.23
2871	109	3	9.94
4212	375	3	28.04
42348	12	3	18.18
25258	102	3	15.89
103	5305	3	9.83
4662	282	9	102.44
3645	164	3	20.43
8453	10610	3	52.33
1369	6885	3	38.23
12	2609	11	13.19
1814	102	16	46.26
21734	299	3	38.48
732	179	6	32.74
21017	14	6	24.36
550	120	3	6.04
875	7	9	22.13
427	597	3	17.21
4744	109	4	19.29
1834	14	77	348.46
181	11963	12	164.41
187	25555	3	35.9
1856	116	6	29.67
743	2017	3	27.16
112	4362	3	14.07
169	187	3	4
7388	101	21	147.35
1222	1673	5	53.34
1634	335	5	41.32
9	768	5	12.76
982	374	3	19.2
4436	561	8	98.01
471	2944	3	27.02
32266	14	3	10.08
105	1626	4	8.19
2238	106	4	11.38
108	145	72	211.91
3028	1428	15	220.77
442	1	4	10.23
8140	316	5	57.45
44869	16	3	36.08
5675	111	4	22.97
6867	14	12	33.28
4106	12	8	11.29
32785	14	4	17.19
229	160	3	5.13
5887	109	3	14.03
12	11273	5	12.2
1007	107	5	9.45
110	4022	5	26.23
196	258	9	41.55
106	238	10	7.88
166	1211	3	13.97
106	4945	5	24.1
3506	536	4	40.65
49151	35	3	36.04
11301	2137	8	138.02
15643	313	4	49.88
661	24528	3	43.98
375	15933	4	52.32
364	593	4	24.09
301	7150	5	55.65
101	230	36	22.58
189	250	4	11.39
8528	1436	4	55.72
124	456	4	10.09
25355	14	3	8.62
103	8244	4	19.3
12	4677	5	4.36
219	155	36	220.72
12681	431	3	35.97
101	1084	31	86.98
699	880	4	31.33
102	1948	7	10.56
453	125	3	6.15
13431	14	12	66.19
1018	15915	8	135.98
146	240	3	4.31
117	462	3	3.89
4066	647	4	43.21
9059	12	6	14.64
269	718	3	15.45
3816	153	5	38.99
45030	7	3	30.88
866	58	5	12.74
12	3495	7	6.61
12	1256	15	8.89
101	1387	10	12.58
7467	145	3	23.7
1620	367	14	148.11
3133	5539	18	332.65
39428	14	4	22.06
11473	6169	4	70.88
479	101	17	10.32
11921	307	4	47.47
108	26079	3	24.25
3244	106	10	53.9
1081	13097	3	40.91
108	8346	3	15.79
14336	7220	3	53.37
118	5933	10	86.49
1549	21625	3	47.7
33710	12	4	24.25
107	416	12	24.62
7	680	9	18.58
2653	102	4	4.48
162	606	3	10.17
29067	165	3	36
132	7105	4	32.36
4978	102	4	8.59
261	1656	3	20.1
2148	3975	12	187.88
3681	101	5	8.47
531	701	5	36.91
13476	12	7	26.62
1345	7671	20	365.66
2091	109	4	13.09
368	4135	4	39.45
125	10572	3	24.23
103	9684	9	64.52
48405	14	3	16.55
137	290	23	126.04
4867	761	4	46.01
102	25102	5	34.79
1076	103	11	29.84
4148	101	6	13.35
106	2752	3	8.01
6475	106	6	34.74
1731	20928	3	47.33
15343	14	9	39.47
287	223	3	9.36
776	210	3	14.15
3281	15976	3	49.64
233	298	4	15.58
35	45182	3	36.04
2176	107	13	68.34
234	629	19	158.63
1224	141	22	180.53
6136	8379	4	67.62
58	4438	3	14.02
13452	34911	3	66.68
2136	14	59	244.07
57	478	11	32.73
30880	12	3	11.65
38019	14	4	22.06
1588	185	17	157.89
33062	174	3	39.04
739	7649	3	35.4
13965	12	4	9.76
243	389	3	11.73
6473	12	4	4.1
213	147	12	43.56
47930	14	3	16.55
553	12	44	44.39
3009	116	4	20.33
13256	12	6	20.33
102	750	11	8.87
189	1625	8	61.91
12170	186	3	29.67
7792	131	3	22.63
125	4076	3	18.13
101	4162	5	9.47
867	503	12	113.57
483	4082	3	29.03
5177	120	3	18.5
4123	283	6	61.22
22383	12	3	9.02
102	7164	17	107.82
102	4809	14	66.1
6482	12	6	10.26
11660	1998	4	61.79
255	9700	11	149.87
271	404	10	65.71
364	6143	3	30.08
150	104	17	4.72
35228	14	3	12.18
4513	4511	5	77.41
21880	12	4	14.98
101	4217	6	13.63
6036	178	4	35.39
10639	12	3	4.03
103	1774	3	4.06
565	41909	3	51.43
246	961	5	32.28
12	408	35	13.56
101	292	23	9.86
5934	102	3	5.75
124	386	7	23.16
1268	114	3	7.82
17296	2963	5	89.96
244	38200	4	62.01
923	13662	4	56.87
35570	14	3	12.18
471	320	92	1110.33
4328	9323	3	47.3
2269	107	3	7.36
164	310	227	2603.96
