35	1974	8	11
1741	1364	3	14.54
718	506	4	7.37
1832	2307	6	43.41
143	629	10	7.38
12128	1093	4	35.09
1359	175	6	9.62
338	177	16	18.1
40315	106	3	11.1
26523	35	5	32.19
785	1075	4	12.91
101	35681	4	10.39
14207	109	4	8.59
162	12758	3	12.71
1832	466	3	8.46
1294	12	76	9.9
1800	1993	4	24.53
4675	135	6	18.16
486	2328	3	10.19
584	3619	3	13.53
486	347	8	15.27
3136	830	3	14.87
490	1926	4	14.31
549	1053	10	44.01
144	4223	4	9.26
1541	315	4	9.83
14486	117	3	8.3
13675	408	3	20.37
2293	14	70	8.47
284	136	20	11.7
1749	1035	3	12.2
22792	8	4	19.45
450	4716	8	53.18
663	153	10	12.37
364	39442	3	28.47
128	30930	3	17.2
5932	8	5	9.02
5840	120	4	7.88
12	672	156	40.53
102	1971	29	6.95
186	444	9	7.75
19654	279	4	30.75
698	501	4	7.11
8500	538	8	66.75
10764	7802	3	36.9
1085	210	24	109.01
6516	308	4	20.83
6710	136	3	7.3
385	930	4	7.75
1406	174	7	13.87
11382	1113	3	24.14
2040	946	3	12.81
34571	948	3	33.86
186	4560	5	18.79
12562	1216	3	25.56
2462	102	31	17.18
926	284	5	9.07
1436	12	68	8.17
35016	2286	4	58.23
547	2738	3	11.73
284	925	7	16.86
102	3619	23	14.81
169	13717	3	13.65
8751	1212	4	33.17
760	652	4	10.22
3792	1064	3	17.1
312	149	16	9.79
17	17723	3	10.76
1654	494	3	8.27
9546	165	3	11.12
10667	210	3	14.55
101	275	244	86.26
557	11313	4	29.83
189	223	14	7.87
553	3998	9	62.92
4611	756	3	16.72
1922	329	3	7.13
161	8495	3	9.93
11453	608	3	21.86
44015	216	3	29.84
128	11775	3	9.72
149	6199	3	7.55
24656	12	6	9.12
39963	133	4	32.59
3690	208	5	17.95
2730	122	5	6.74
658	2046	3	10.94
3399	2875	5	42.87
689	126	14	13.39
3724	8	6	7.81
240	57	75	65.05
2286	756	3	12.66
813	231	6	8.81
5317	101	18	11.81
10360	103	6	7.98
21273	4419	4	54.11
714	41441	3	36.7
4032	849	3	16.33
9308	195	3	13.06
422	416	8	16.08
1954	12	53	15.27
16118	1570	5	56
2173	10398	3	27.79
25238	550	3	27.06
