1818	1
50309	2
50110	3
23471	4
39057	5
37772	6
36461	7
47170	8
40366	9
42898	10
44854	11
2220	12
36729	13
36730	14
31790	15
45870	16
36876	17
37766	18
9952	19
32574	20
31769	21
51801	22
31981	23
31983	24
31917	25
31225	26
18211	27
80804	28
72274	29
47731	30
23939	31
14946	32
31215	33
34083	34
15344	35
54662	36
47010	37
47500	38
2987	39
54655	40
54656	41
25453	42
47088	43
47537	44
47768	45
47817	46
23624	47
31338	48
31612	49
30441	50
13747	51
52650	52
32267	53
10001	54
47555	55
47533	56
47540	57
47530	58
24151	59
47810	60
36950	61
18061	62
2973	63
32963	64
31635	65
33098	66
18230	67
17630	68
54659	69
47417	70
47578	71
47637	72
18017	73
17022	74
37852	75
37960	76
37676	77
4337	78
37612	79
68381	80
1903	81
80561	82
6764	83
17174	84
18945	85
47093	86
43491	87
19219	88
44520	89
70040	90
27376	91
20615	92
57462	93
45569	94
2951	95
3163	96
72936	97
52854	98
46326	99
1250	100
89611	101
33712	102
79646	103
18243	104
38086	105
68558	106
27575	107
145	108
12022	109
4976	110
52693	111
23653	112
23611	113
18640	114
40996	115
52973	116
17954	117
52346	118
31529	119
65443	120
20964	121
23973	122
79098	123
18848	124
37451	125
49945	126
57983	127
282	128
29384	129
44471	130
45625	131
78858	132
40495	133
23334	134
81544	135
23341	136
52336	137
8193	138
25595	139
49325	140
20817	141
31784	142
9157	143
63382	144
1279	145
23640	146
329	147
10627	148
81124	149
7157	150
42342	151
44726	152
75886	153
45663	154
42338	155
1084	156
7028	157
30645	158
3745	159
10209	160
44001	161
33666	162
78782	163
69624	164
16166	165
12388	166
46197	167
31835	168
46353	169
47672	170
24206	171
44718	172
18913	173
30266	174
4950	175
20390	176
72330	177
74407	178
30650	179
28604	180
36470	181
17019	182
68379	183
36675	184
13617	185
80623	186
1930	187
89472	188
1529	189
24840	190
24754	191
6786	192
13987	193
19839	194
784	195
34551	196
1476	197
313	198
47271	199
2775	200
44192	201
37557	202
28492	203
23753	204
8239	205
36407	206
32380	207
46068	208
25741	209
26425	210
68591	211
64612	212
52355	213
41143	214
12134	215
37252	216
56131	217
73786	218
23337	219
11072	220
10705	221
15	222
30604	223
56315	224
2990	225
28411	226
37780	227
25009	228
44956	229
22802	230
7421	231
751	232
38166	233
